h,speed_m_s,radius_m,r0_m,u0_m_s
0.0,1824789.959346568,5.480082761733772e-10,0.001,1.0
0.0,1896116.618235437,5.273937216639238e-10,0.001,1.0
0.0,1970231.2649922783,5.075546296357848e-10,0.001,1.0
0.0,2047242.8753699518,4.884618293368309e-10,0.001,1.0
0.0,2127264.684721904,4.700872473378784e-10,0.001,1.0
0.0,2210414.3544996954,4.524038662544517e-10,0.001,1.0
0.0,2296814.145258586,4.3538568502129064e-10,0.001,1.0
0.0,2386591.096425421,4.190076806612479e-10,0.001,1.0
0.0,2479877.2130932882,4.032457714923087e-10,0.001,1.0
0.0,2576809.6601174553,3.8807678171868496e-10,0.001,1.0
0.0,2677530.9637981015,3.734784073538745e-10,0.001,1.0
0.0,2782189.2214463456,3.5942918342561247e-10,0.001,1.0
0.0,2890938.3191416506,3.4590845241447757e-10,0.001,1.0
0.0,3003938.1580009265,3.3289633387975087e-10,0.001,1.0
0.0,3121354.88929186,3.2037369522786584e-10,0.001,1.0
0.0,3243361.158736349,3.0832212358046856e-10,0.001,1.0
0.0,3370136.3603630792,2.967238987007235e-10,0.001,1.0
0.0,3501866.900282688,2.855619669380568e-10,0.001,1.0
0.0,3638746.47077316,2.74819916153026e-10,0.001,1.0
0.0,3780976.335078674,2.644819515854474e-10,0.001,1.0
0.0,3928765.6233404377,2.5453287263029653e-10,0.001,1.0
0.0,4082331.640094869,2.4495805048723606e-10,0.001,1.0
0.0,4241900.183791015,2.357434066509066e-10,0.001,1.0
0.0,4407705.878797279,2.2687539221035045e-10,0.001,1.0
0.0,4579992.52038534,2.183409679271409e-10,0.001,1.0
0.0,4759013.43319883,2.1012758506290613e-10,0.001,1.0
0.0,4945031.843733534,2.0222316692808032e-10,0.001,1.0
0.0,5138321.2673770515,1.9461609112473185e-10,0.001,1.0
0.0,5339165.910576909,1.8729517245736772e-10,0.001,1.0
0.0,5547861.0887283515,1.802496464865911e-10,0.001,1.0
0.0,5764713.660396532,1.734691537014199e-10,0.001,1.0
0.0,5990042.478511217,1.6694372428700086e-10,0.001,1.0
0.0,6224178.859197802,1.6066376346531996e-10,0.001,1.0
0.0,6467467.068933614,1.5462003738735454e-10,0.001,1.0
0.0,6720264.830746174,1.4880365955592368e-10,0.001,1.0
0.0,6982943.850197342,1.4320607775927324e-10,0.001,1.0
0.0,7255890.361927125,1.3781906149618366e-10,0.001,1.0
0.0,7539505.697560346,1.3263468987410972e-10,0.001,1.0
0.0,7834206.875811658,1.2764533996255955e-10,0.001,1.0
0.0,8140427.21565611,1.228436755845867e-10,0.001,1.0
0.0,8458616.973467313,1.1822263652991556e-10,0.001,1.0
0.0,8789244.005059581,1.1377542817383881e-10,0.001,1.0
0.0,9132794.453607867,1.0949551148662429e-10,0.001,1.0
0.0,9489773.46445684,1.0537659341873827e-10,0.001,1.0
0.0,9860705.92786996,1.0141261764775206e-10,0.001,1.0
0.0,10246137.250811107,9.759775567332337e-11,0.001,1.0
0.0,10646634.158892974,9.392639824715997e-11,0.001,1.0
0.0,11062785.529672055,9.03931471253645e-11,0.001,1.0
0.0,11495203.258514771,8.699280713103309e-11,0.001,1.0
0.0,11944523.158308575,8.372037851543721e-11,0.001,1.0
0.0,12411405.894340258,8.057104960655663e-11,0.001,1.0
0.0,12896537.955716765,7.754018973415421e-11,0.001,1.0
0.0,13400632.664756129,7.462334242098986e-11,0.001,1.0
0.0,13924431.225833489,7.181621883016205e-11,0.001,1.0
0.0,14468703.815223549,6.911469145894239e-11,0.001,1.0
0.0,15034250.71354281,6.65147880698306e-11,0.001,1.0
0.0,15621903.482455812,6.401268584990625e-11,0.001,1.0
0.0,16232526.187376305,6.160470578988982e-11,0.001,1.0
0.0,16867016.667960867,5.928730727464769e-11,0.001,1.0
0.0,17526307.85826274,5.705708287718746e-11,0.001,1.0
0.0,18211369.158487845,5.491075334848869e-11,0.001,1.0
0.0,18923207.86036884,5.284516279580241e-11,0.001,1.0
0.0,19662870.628254235,5.0857274042329646e-11,0.001,1.0
0.0,20431445.03808914,4.8944164161455924e-11,0.001,1.0
0.0,21230061.17655166,4.710302017897563e-11,0.001,1.0
