group,eta_decimal,Y,radial_degree,Phi,U,p1,Sq_margin,angular_relative,axial_relative,pressure_relative
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,0,18,1.0,0.0022222612372276994,0.0,0.4999111103061861,9.734087081597569e-83,1.940629767755429e-82,0.0
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,1,18,1.0,0.0022222612372276994,1.5978912126152146e-40,0.4999111103061861,5.321658368129603e-82,5.34706394864722e-82,7.966306151043752e-82
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,2,18,1.0,0.0022222612372276994,3.1957824252304293e-40,0.4999111103061861,2.5687414408542294e-82,8.248685751263989e-82,1.5932612302087504e-81
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,3,18,1.0,0.0022222612372276994,4.7936736378456435e-40,0.4999111103061861,7.627871373137232e-82,3.492359161090739e-82,0.0
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,4,18,1.0,0.0022222612372276994,6.3915648504608586e-40,0.4999111103061861,4.665611402122023e-82,5.384356207157465e-82,0.0
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,4.1,18,1.0,0.0022222612372276994,6.55135397172238e-40,0.4999111103061861,1.2465256730761364e-81,1.1447128442933884e-81,7.966306151043752e-82
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,0,18,1.0,0.0022444837520938198,0.0,2.7609103125629964e+37,1.8496663149336616e-82,4.305046813870581e-82,5.89932126385496e-82
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,1,18,0.9853660277524815,0.0022444837520938198,0.02955701081649895,2.7609103125629964e+37,1.767326852622425e-61,9.225127540043702e-83,3.168806242124817e-52
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,2,18,0.9708751743616096,0.0022444837520938198,0.05940885141414809,2.7609103125629964e+37,4.7020905370922675e-56,7.976350423451567e-83,8.554195592506442e-47
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,3,18,0.9565263890303355,0.0022444837520938198,0.089562192024895,2.7609103125629964e+37,7.053425607522484e-53,2.303402618106524e-82,1.3020568306054635e-43
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,4,18,0.942318627136709,0.0022444837520938198,0.12002391919053033,2.7609103125629964e+37,1.2699789691950093e-50,3.5672976115329065e-82,2.37903487775484e-41
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,4.1,18,0.9409055672019809,0.0022444837520938198,0.12308732497162571,2.7609103125629964e+37,1.9837084533296648e-50,7.641669438431954e-83,3.721528835702764e-41
