time,kx,ky,Bx,By,k2,damping_integral,vorticity_amplitude,speed,energy,qxy,production,dissipation,energy_rate,logarithmic_speed_rate,wavelength,pressure_amplitude,heat_reference_speed,inviscid_speed
8.63,1.0,-4.630000000000001,0.6207781773776819,0.1340773601247693,22.43690000000001,63.047615666666694,3.0082803213834377,0.6350923428969869,0.100835571001596,0.04161614962293269,-0.04161614962293269,0.0226243762300571,-0.06424052585298978,-0.31854099309842265,1.326473084714896,0.011951504898160553,0.4802012462142484,0.870448406410828
8.64,1.0,-4.640000000000001,0.6188630950549617,0.13337566703770726,22.529600000000006,63.27244800000001,3.0049004280927303,0.6330723489292199,0.10019514974469,0.04127063905398778,-0.04127063905398778,0.022573566456879687,-0.06384420551086746,-0.3185992818691854,1.323741327328598,0.0118400386192127,0.4797932485785264,0.8686557926812285
8.65,1.0,-4.65,0.6169531830723706,0.1326781038865313,22.622500000000002,63.49820833333334,3.001510405173055,0.6310584040752926,0.09955867733851381,0.04092808925840108,-0.04092808925840108,0.02252266178090529,-0.06345075103930636,-0.3186600743176042,1.3210205387342202,0.011729747276961548,0.4793855975934473,0.8668703768115459
8.66,1.0,-4.66,0.615048417708078,0.1319846389931498,22.715600000000002,63.72489866666666,2.9981102655127936,0.6290504757611765,0.0989261252638406,0.040588471687254345,-0.040588471687254345,0.022471662910432982,-0.06306013459768733,-0.3187233626582613,1.3183106546286187,0.011620616580072707,0.4789782929644833,0.865092116605244
8.67,1.0,-4.67,0.613148775425714,0.13129524099051693,22.808899999999998,63.95252099999999,2.994700022228601,0.6270485317045329,0.09829746527820266,0.04025175811627973,-0.04025175811627973,0.022420570557839962,-0.06267232867411969,-0.3187891391540144,1.31561161119653,0.011512632436506534,0.47857133439735683,0.8633209701859406
8.68,1.0,-4.68,0.6112542328731742,0.1306098788190543,22.902399999999997,64.18107733333332,2.991279688665509,0.6250525399120467,0.09767266941262517,0.03991792064159964,-0.03991792064159964,0.022369385439557063,-0.0622873060811567,-0.3188573961156909,1.3129233451061,0.01140578095038549,0.4781647215980403,0.861556895994472
8.69,1.0,-4.6899999999999995,0.6093647668814292,0.12992852172311925,22.996099999999995,64.41056966666666,2.9878492783970216,0.6230624686767882,0.09705170996840341,0.03958693167552863,-0.03958693167552863,0.02231810827604401,-0.06190503995157264,-0.3189281259017833,1.310245793504461,0.011300048418916188,0.4777584542727559,0.8597998527859924
8.700000000000001,1.0,-4.700000000000001,0.6074803544633375,0.12925113924751858,23.09000000000001,64.64100000000002,2.9844088052252054,0.6210782865756004,0.0964345595139209,0.03925876394243639,-0.03925876394243639,0.022266739791764346,-0.06152550373420074,-0.31900132091814637,1.3075788940133526,0.011195421329364965,0.4773525321279754,0.8580497996270984
8.71,1.0,-4.710000000000001,0.6056009728124643,0.1285777012340688,23.184100000000008,64.87237033333336,2.980958283180776,0.6190999624665152,0.09582119088151014,0.03893339047467123,-0.03893339047467123,0.0222152807151602,-0.06114867118983143,-0.3190769736176949,1.3049225847247938,0.011091886356086177,0.4769469548704202,0.8563066958929905
8.72,1.0,-4.720000000000001,0.6037265993019005,0.12790817781819924,23.278400000000005,65.10468266666668,2.97749772652317,0.6171274654861909,0.09521157716435244,0.03861078460854211,-0.03861078460854211,0.02216373177862662,-0.06077451638716873,-0.3191550765001031,1.3022768041967934,0.01098943035760183,0.4765417222070607,0.8545705012646571
8.73,1.0,-4.73,0.6018572114830897,0.12724253942560035,23.372900000000005,65.337939,2.974027149740615,0.6151607650473785,0.094605691713419,0.03829091998035946,-0.03829091998035946,0.022112093718485718,-0.06040301369884518,-0.3192356221115052,1.2996414914491112,0.010888040373731998,0.4761368338451162,0.8528411757260941
8.74,1.0,-4.74,0.5999927870846584,0.12658075676891525,23.4676,65.57214133333333,2.970546567550196,0.6131998308364146,0.09400350813445187,0.037973770522533354,-0.037973770522533354,0.022060367274960628,-0.06003413779749398,-0.3193186030441971,1.297016585959063,0.010787703622774826,0.4757322894920548,0.8511186795615505
8.75,1.0,-4.75,0.598133304011249,0.12592280084447346,23.5625,65.80729166666666,2.967055994897906,0.6112446328107348,0.09340500028498251,0.0376593104597277,-0.0376593104597277,0.02200855319214901,-0.05966786365187671,-0.31940401193633955,1.2944020276573651,0.010688407498735147,0.47532808885559336,0.8494029733528036
8.76,1.0,-4.76,0.5962787403423598,0.1252686429290672,23.6576,66.043392,2.9635554469586998,0.6092951411964168,0.09281014227139038,0.03734751430507052,-0.03734751430507052,0.021956652217996447,-0.05930416652306697,-0.3194918414716624,1.2917977569240293,0.010590139568600974,0.4749242316436967,0.847694017976463
8.77,1.0,-4.77,0.5944290743311871,0.1246182545767688,23.752899999999997,66.28044433333332,2.960044939136531,0.6073513264857435,0.09221890844599806,0.037038356856418445,-0.037038356856418445,0.021904665104269475,-0.058943021960687916,-0.3195820843791705,1.2892037145842938,0.010492887569666761,0.4745207175645781,0.8459917746013023
8.78,1.0,-4.779999999999999,0.5925842844034731,0.12397160761578938,23.848399999999994,66.51845066666665,2.9565244870643905,0.6054131594347942,0.09163127340420489,0.03673181319267535,-0.03673181319267535,0.021852592606528397,-0.05858440579920375,-0.31967473343285085,1.2866198419046022,0.010396639406902719,0.4741175463266986,0.8442962046856191
8.790000000000001,1.0,-4.790000000000001,0.5907443491563575,0.12332867414537733,23.94410000000001,66.75741300000001,2.9529941066043306,0.6034806110610557,0.09104721198165629,0.03642785867016372,-0.03642785867016372,0.02180043548409977,-0.05822829415426349,-0.3197697814513805,1.2840460805886198,0.010301383150369174,0.4737147176387669,0.8426072699746218
8.8,1.0,-4.800000000000001,0.5889092473572359,0.12268942653275747,24.040000000000006,66.99733333333334,2.9494538138474904,0.6015536526410616,0.09046669925145076,0.03612646891904855,-0.03612646891904855,0.021748194500048768,-0.05787466341909732,-0.31986722129783696,1.2814823727732965,0.010207107032675328,0.47331223120973925,0.8409249324978453
8.81,1.0,-4.8100000000000005,0.5870789579426186,0.1220538374101078,24.136100000000006,67.23821366666668,2.9459036251141035,0.5996322557080498,0.089889710521381,0.03582761983981194,-0.03582761983981194,0.021695870421151044,-0.057523490260962984,-0.3199670458794089,1.2789286610249648,0.010113799446481227,0.47291008674881935,0.8392491545665911
8.82,1.0,-4.82,0.5852534600169985,0.12142187967157644,24.232400000000002,67.480056,2.9423435569535092,0.597716392049647,0.08931622133121182,0.03553128759977889,-0.03553128759977889,0.021643464017864572,-0.05717475161764346,-0.32006924814710885,1.2763848883354838,0.01002144894204259,0.4725082839654577,0.8375798987713963
8.83,1.0,-4.83,0.5834327328517211,0.12079352647033564,24.3289,67.72286233333334,2.938773626144149,0.595806033705574,0.08874620744999188,0.035237448629692324,-0.035237448629692324,0.021590976064301076,-0.0568284246939934,-0.32017382109548725,1.2738509981184183,0.00993004422479731,0.4721068225693517,0.8359171279795271
8.84,1.0,-4.84,0.5816167558838607,0.1201687512156737,24.4256,67.96663466666666,2.9351938496935595,0.5939011529653743,0.08817964487340021,0.034946079620337446,-0.034946079620337446,0.021538407338197244,-0.05648448695853469,-0.3202807577623477,1.2713269342052627,0.009839574152993065,0.47170570227044556,0.8342608053324999
8.85,1.0,-4.85,0.5798055087151001,0.11954752757012371,24.522499999999997,68.21137499999999,2.9316042448383586,0.5920017223661646,0.08761650982112634,0.03465715751921401,-0.03465715751921401,0.021485758620885708,-0.056142916140099725,-0.32039005122846365,1.2688126408416993,0.009750027735355183,0.4713049227789299,0.8326108942436267
8.86,1.0,-4.859999999999999,0.5779989711106155,0.11892982944662872,24.619599999999995,68.45708533333332,2.92800482904422,0.5901077146904067,0.08705677873428361,0.03437065952725619,-0.03437065952725619,0.02143303069726568,-0.05580369022452187,-0.3205016946172968,1.266308062683899,0.00966139412879403,0.47090448380524136,0.8309673583955868
8.870000000000001,1.0,-4.870000000000001,0.5761971229979678,0.11831563100574284,24.71690000000001,68.70376766666669,2.9243956200058463,0.588219102963702,0.08650042827285555,0.03408656309559909,-0.03408656309559909,0.02138022435577345,-0.05546678745137254,-0.3206156810947166,1.263813144794855,0.0095736626361512,0.4705043850600628,0.8293301617380227
8.88,1.0,-4.880000000000001,0.5743999444659968,0.11770490665286817,24.814400000000006,68.95142400000002,2.920776635646933,0.5863358604526084,0.08594743531317518,0.03380484592239141,-0.03380484592239141,0.02132734038835254,-0.05513218631074396,-0.3207320038687214,1.2613278326407644,0.009486822703983827,0.47010462625432303,0.8276992684851628
8.89,1.0,-4.890000000000001,0.5726074157637207,0.11709763103552569,24.912100000000006,69.20005633333335,2.91714789412012,0.5844579606624746,0.08539777694543467,0.03352548594965301,-0.03352548594965301,0.02127437959042363,-0.05479986554007664,-0.3208506561891611,1.258852072087433,0.00940086392038613,0.4697052070991961,0.8260746431134649
8.9,1.0,-4.9,0.5708195172992414,0.1164937790406615,25.010000000000005,69.44966666666669,2.9135094138069446,0.5825853773352996,0.08485143047122835,0.033248461360177436,-0.033248461360177436,0.021221342760854217,-0.054469804121031654,-0.320971631347461,1.2563858093967297,0.009315776012847778,0.46930612730610183,0.8244562503592882
8.91,1.0,-4.91,0.5690362296386545,0.11589332579198665,25.1081,69.70025700000001,2.90986121331778,0.5807180844476113,0.08430837340112575,0.032973750574478156,-0.032973750574478156,0.02116823070192806,-0.054141981276406216,-0.3210949226763475,1.253928991223071,0.009231548846148187,0.4689073865867049,0.8228440552165862
8.92,1.0,-4.92,0.5672575335049634,0.11529624664735029,25.2064,69.95182933333334,2.9062033114917702,0.5788560562083646,0.08376858345227532,0.032701332247777916,-0.032701332247777916,0.02111504421931433,-0.053816376467092246,-0.32122052354957475,1.2514815646099426,0.00914817242028614,0.4685089846529152,0.8212380229346248
8.93,1.0,-4.93,0.5654834097770002,0.11470251719614609,25.304899999999996,70.20438566666665,2.902535727396757,0.5769992670568611,0.08323203854603874,0.03243118526704084,-0.03243118526704084,0.02106178412203655,-0.0534929693890774,-0.32134842738165337,1.249043476986457,0.009065636868444143,0.4681109212168873,0.8196381190157229
8.94,1.0,-4.9399999999999995,0.5637138394883495,0.11411211325675093,25.403599999999994,70.457928,2.898858480329197,0.5751476916606882,0.08269871680565453,0.03216328874804623,-0.03216328874804623,0.021008451222441257,-0.053171739970487485,-0.32147862762758034,1.2466146761639465,0.00898393245498677,0.4677131959910203,0.8180443092130174
8.950000000000001,1.0,-4.950000000000001,0.5619488038262784,0.11352501087399561,25.502500000000012,70.71245833333336,2.8951715898140744,0.5733013049136779,0.08216859655393148,0.03189762203250354,-0.03189762203250354,0.020955046336166388,-0.05285266836866993,-0.32161111778257034,1.244195110332591,0.008903049573492446,0.4673158086879577,0.8164565595282494
8.96,1.0,-4.960000000000001,0.5601882841306732,0.11294118631666797,25.60160000000001,70.96797866666668,2.8914750756048075,0.5714600819338863,0.08164165631097102,0.03163416468520845,-0.03163416468520845,0.020901570282109566,-0.05253573496731802,-0.32174589138178866,1.2417847280580818,0.008822978744818131,0.46691875902058727,0.814874836209575
8.97,1.0,-4.970000000000001,0.5584322618929766,0.11236061607504558,25.700900000000008,71.22449100000001,2.88776895768314,0.5696239980615896,0.08111787479191745,0.03137289649123802,-0.03137289649123802,0.02084802388239592,-0.05222092037363394,-0.3218829420000856,1.2393834782783144,0.008743710615196009,0.46652204670204056,0.8132991057493961
