tau,heat_radius,heat_speed,heat_time_angular,heat_minus_viscosity_angular,heat_residual_magnitude,heat_normalized_angular,heat_laplacian_raw_relative_error,gaussian_force_magnitude,gaussian_force_l2,gaussian_angular_normalized
3.162277660168379e-07,0.0031810829150682026,444.5752238060802,143.06553624311255,-143.06553624311098,1.5631940186722204e-12,5.4632095881424566e-15,6.951377251596114e-10,17713292306.46873,1192746.9486241052,1.0
2.511886431509577e-07,0.002835143132335764,498.8217202937804,202.08548781688205,-202.08548781687983,2.2168933355715126e-12,5.4850384347745514e-15,5.326279417516844e-10,25020690421.76451,1417582.4052084575,1.0
1.9952623149688787e-07,0.0025268239764376964,559.6873044490231,285.4534044928176,-285.45340449281446,3.126388037344441e-12,5.476179278539874e-15,7.597817930360407e-10,35342664613.125275,1684799.8461657767,1.0
1.584893192461111e-07,0.0022520342394989367,627.9796288279624,403.2137439298762,-403.2137439298718,4.433786671143025e-12,5.498059946977079e-15,8.011840080257571e-10,49922840693.04956,2002388.3699535732,1.0
1.2589254117941662e-07,0.0020071276286627443,704.6048947119248,569.5546829536519,-569.5546829536456,6.252776074688882e-12,5.489179759055498e-15,5.520532919689458e-10,70517886813.15306,2379843.037883801,1.0
1e-07,0.0017888543819998318,790.5798768959942,804.5175586347339,-804.5175586347251,8.753886504564434e-12,5.440457085498435e-15,4.810165599167249e-10,99609162691.0364,2828448.7514753765,1.0
7.943282347242805e-08,0.0015943181461420106,887.045415726812,1136.4115185481942,-1136.4115185481817,1.2505552149377763e-11,5.502211102785247e-15,7.5680706146386e-10,140701682089.52533,3361617.6413199427,1.0
6.30957344480193e-08,0.0014209375434327215,995.2815554214608,1605.224305707593,-1605.2243057075755,1.750777300912887e-11,5.453372761326158e-15,6.570066712896505e-10,198746408543.0292,3995290.054500324,1.0
5.0118723362727144e-08,0.001266411918613872,1116.724529544538,2267.4401214502955,-2267.4401214502705,2.5011104298755527e-11,5.515273382998558e-15,6.141367414613796e-10,280736763925.96185,4748411.129030608,1.0
3.981071705534969e-08,0.0011286908105283705,1252.985819031263,3202.8450392147565,-3202.8450392147215,3.501554601825774e-11,5.466319099041194e-15,7.921518996312216e-10,396551219201.3155,5643497.203639601,1.0
3.162277660168379e-08,0.0010059467437463483,1405.873535646044,4524.139909221166,-4524.139909221117,4.9112713895738125e-11,5.427850915445405e-15,5.899272181864035e-10,560143485487.785,6707308.997060246,1.0
2.511886431509577e-08,0.0008965509790765189,1577.416414623122,6390.518950372285,-6390.518950372216,6.912159733474255e-11,5.408136480896922e-15,7.229583598444833e-10,791223703627.3488,7971651.683114464,1.0
1.9952623149688786e-08,0.0007990519011866758,1769.8907348583352,9026.850025532833,-9026.850025532734,9.822542779147625e-11,5.44073666415427e-15,5.416591619678002e-10,1117633187569.0955,9474325.781733593,1.0
1.584893192461111e-08,0.0007121557565501773,1985.8505238680452,12750.767506716398,-12750.76750671626,1.382431946694851e-10,5.4209754274268975e-15,7.76168684879508e-10,1578698838557.7556,11260257.295054354,1.0
1.2589254117941661e-08,0.0006347094861226931,2228.1614483182416,18010.941973164925,-18010.94197316473,1.964508555829525e-10,5.453653003703303e-15,7.702500859352313e-10,2229971381115.1636,13382840.876686027,1.0
1e-08,0.000565685424949238,2500.038839832407,25441.137609155005,-25441.137609154728,2.764863893389702e-10,5.43384485368842e-15,6.875957581087278e-10,3149918299259.4204,15905536.191376517,1.0
