eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
0.0,2.1866666666666665,0.004270833333333333,0.9911495267473965,0.020206523280265926,-99.99999999995767,0.00009911495267473965411199894,4.233477778233810213599625e-11,-4.003860822060981,-4.6634456059711065,1.9845235295806545e-43,1.857228174595656e-44,1.4181488001403155e-43
0.0,2.255,0.004404296875,0.9908654287954901,0.02021344066860796,-99.99999999995636,0.00009908654287954900664015648,4.364551775642683193198715e-11,-4.00398532381949,-4.6842272991042835,3.896863422059764e-43,3.62754083130279e-44,2.7924174243490963e-43
0.0,2.3233333333333333,0.0045377604166666665,0.9905808780352252,0.020220386247817992,-99.99999999995505,0.00009905808780352252046349065,4.495550572441038986870898e-11,-4.004110059801916,-4.705012073126692,7.49893573271587e-43,6.943881685767073e-44,5.388422492032844e-43
0.0,2.3916666666666666,0.004671223958333333,0.9902958747387105,0.020227360026648145,-99.99999999995373,0.00009902958747387104758304763,4.626474070532145408790615e-11,-4.004235030080538,-4.725799937774346,1.415854220519721e-42,1.3041992224876231e-43,1.020174971952668e-42
0.0,2.46,0.0048046875,0.9900104191790008,0.020234362013864766,-99.99999999995242,0.00009900104191790008171803989,4.75732217199454236105625e-11,-4.004360234727566,-4.746590902785674,2.6256560426322795e-42,2.406039934794794e-43,1.8970787093038597e-42
0.0,2.5283333333333333,0.004938151041666667,0.9897245116300967,0.02024139221824842,-99.99999999995111,0.00009897245116300966388484042,4.888094779082372336995771e-11,-4.0044856738151475,-4.767384977901525,4.787239233889943e-42,4.3642170703132074e-43,3.468337305964609e-42
0.0,2.5966666666666667,0.005071614583333333,0.9894381523669429,0.020248450648593923,-99.99999999994981,0.0000989438152366942872379051,5.018791794225711706265775e-11,-4.004611347415363,-4.788182172865173,8.589222083327437e-42,7.790182083656942e-43,6.239876707841008e-42
0.0,2.665,0.005205078125,0.9891513416654281,0.02025553731371033,-99.9999999999485,0.00009891513416654280217693634,5.149413120030898186390382e-11,-4.004737255600225,-4.808982497422317,1.5177724764254463e-41,1.3695853581165912e-42,1.1056359302827855e-41
0.0,2.7333333333333334,0.005338541666666667,0.9888640798023832,0.020262652222420945,-99.9999999999472,0.0000988864079802383204233625,5.279958659280860430937402e-11,-4.004863398441686,-4.829785961321091,2.643497074927381e-41,2.3733716873557084e-42,1.9309228647533713e-41
0.0,2.8016666666666663,0.005472005208333333,0.9885763670555812,0.02026979538356335,-99.9999999999459,0.00009885763670555811957603213,5.410428314935442848371504e-11,-4.00498977601163,-4.850592574312064,4.5413049049442857e-41,4.0568379923737124e-42,3.3261720640792e-41
0.0,2.8699999999999997,0.005605468749999999,0.9882882037037355,0.020276966805989394,-99.99999999994459,0.00009882882037037354579233223,5.540821990131736347933666e-11,-4.005116388381876,-4.871402346148242,7.700165527368886e-41,6.84451200576988e-42,5.65508870366949e-41
0.0,2.938333333333333,0.005738932291666666,0.9879995900264992,0.020284166498565206,-99.99999999994328,0.000098799959002649918467229,5.671139588184397442435525e-11,-4.00524323562418,-4.892215286585078,1.2894503113456836e-40,1.1405059939323508e-41,9.495473926148873e-41
0.0,3.0066666666666664,0.005872395833333333,0.9877105263044643,0.020291394470171212,-99.99999999994199,0.00009877105263044643219490554,5.801381012585977090269348e-11,-4.005370317810232,-4.913031405380467,2.133749503153895e-40,1.8780268595534295e-41,1.5755257910009848e-40
0.0,3.0749999999999997,0.0060058593749999995,0.9874210128191606,0.020298650729702144,-99.99999999994068,0.00009874210128191605988840093,5.931546167007241711427033e-11,-4.005497635011657,-4.93385071229476,3.490991958502518e-40,3.0576464323293816e-41,2.584629934873801e-40
