radius,delta_U,delta_E
2.3373333333333335,0.0,0.0
2.3392666666666666,0.0,0.0
2.3412,0.0,0.0
2.3431333333333333,0.0,0.0
2.345066666666667,0.0,0.0
2.347,0.0,0.0
2.348933333333333,0.0,0.0
2.3508666666666667,0.0,0.0
2.3528000000000002,0.0,0.0
2.3547333333333333,0.0,0.0
2.3566666666666665,0.0,0.0
2.3586,0.0,0.0
2.3605333333333336,0.0,0.0
2.3624666666666667,0.0,0.0
2.3644,0.0,0.0
2.3663333333333334,0.0,0.0
2.3682666666666665,0.0,0.0
2.3702,0.0,0.0
2.372133333333333,0.0,0.0
2.3740666666666668,0.0,0.0
2.376,0.0,0.0
2.3779333333333335,0.0,0.0
2.3798666666666666,0.0,0.0
2.3818,0.0,0.0
2.3837333333333333,0.0,0.0
2.385666666666667,0.0,0.0
2.3876,0.0,0.0
2.3895333333333335,0.0,0.0
2.3914666666666666,0.0,0.0
2.3933999999999997,0.0,0.0
2.3953333333333333,0.0,0.0
2.397266666666667,0.0,0.0
2.3992,0.0,0.0
2.401133333333333,0.0,0.0
2.4030666666666667,0.0,0.0
2.4050000000000002,0.0,0.0
2.4069333333333334,0.0,0.0
2.4088666666666665,0.0,0.0
2.4108,0.0,0.0
2.4127333333333336,0.0,0.0
2.4146666666666667,0.0,0.0
2.4166,0.0,0.0
2.4185333333333334,0.0,0.0
2.4204666666666665,0.0,0.0
2.4224,0.0,0.0
2.4243333333333332,0.0,0.0
2.426266666666667,0.0,0.0
2.4282,0.0,0.0
2.4301333333333335,0.0,0.0
2.4320666666666666,0.0,0.0
2.434,0.0,0.0
2.4359333333333333,0.0,0.0
2.437866666666667,0.0,0.0
2.4398,0.0,0.0
2.4417333333333335,0.0,0.0
2.4436666666666667,0.0,0.0
2.4455999999999998,0.0,0.0
2.4475333333333333,0.0,0.0
2.449466666666667,0.0,0.0
2.4514,0.0,0.0
2.453333333333333,0.0,0.0
2.4552666666666667,0.0,0.0
2.4572000000000003,0.0,0.0
2.4591333333333334,0.0,0.0
2.4610666666666665,0.0,0.0
2.463,0.0,0.0
2.464933333333333,0.0,0.0
2.4668666666666668,0.0,0.0
2.4688,0.0,0.0
2.4707333333333334,0.0,0.0
2.4726666666666666,0.0,0.0
2.4746,0.0,0.0
2.4765333333333333,0.0,0.0
2.478466666666667,0.0,0.0
2.4804,0.0,0.0
2.4823333333333335,0.0,0.0
2.4842666666666666,0.0,0.0
2.4862,0.0,0.0
2.4881333333333333,0.0,0.0
2.4900666666666664,0.0,0.0
2.492,0.0,0.0
2.4939333333333336,0.0,0.0
2.4958666666666667,0.0,0.0
2.4978,0.0,0.0
2.4997333333333334,0.0,0.0
2.501666666666667,0.0,0.0
2.5036,0.0,0.0
2.505533333333333,0.0,0.0
2.5074666666666667,0.0,0.0
2.5094000000000003,0.0,0.0
2.5113333333333334,0.0,0.0
2.5132666666666665,0.0,0.0
2.5152,0.0,0.0
2.5171333333333332,0.0,0.0
2.519066666666667,0.0,0.0
2.521,0.0,0.0
2.5229333333333335,0.0,0.0
2.5248666666666666,0.0,0.0
2.5268,0.0,0.0
